participant,age_group,frame,timestamp,true_location,humna_class,human_score_blinks_removed,l2cs_score,l2cs_class,l2cs_norm
EX01,adult,0.0,0.0,0.0,Centre,0,0.08357586,right,0.0907505218330441
EX01,adult,1.004651163,0.033153488,0.0,Centre,0,0.100080006,right,0.10867148468401974
EX01,adult,2.009302326,0.066306977,0.0,Centre,0,0.12023081,right,0.1305521557007028
EX01,adult,3.013953488,0.099460465,0.0,Centre,0,0.14430206,right,0.156689824872112
EX01,adult,4.018604651,0.132613953,0.0,Centre,0,0.14765897,right,0.16033492196499824
EX01,adult,5.023255814,0.165767442,0.0,Centre,0,0.10231199,right,0.11109507726546347
EX01,adult,6.027906977,0.19892093,0.0,Centre,0,0.11612102,right,0.12608955361148075
EX01,adult,7.03255814,0.232074419,0.0,Centre,0,0.06610099,right,0.07177550509768962
EX01,adult,8.037209302,0.265227907,0.0,Centre,0,0.062535815,right,0.06790427118348323
EX01,adult,9.041860465,0.298381395,0.0,Centre,0,0.06953673,right,0.0755061882464125
EX01,adult,10.04651163,0.331534884,0.0,Centre,0,0.07103636,right,0.07713455619807437
EX01,adult,11.05116279,0.364688372,0.0,Centre,0,0.05350291,right,0.058095926346447696
EX01,adult,12.05581395,0.39784186,0.0,Centre,0,0.062577896,right,0.06794996454234185
EX01,adult,13.06046512,0.430995349,0.0,Centre,0,0.074054785,right,0.08041210005447606
EX01,adult,14.06511628,0.464148837,0.0,Centre,0,0.10344064,right,0.112320618778689
EX01,adult,15.06976744,0.497302326,0.0,Centre,0,0.10988788,right,0.119321330002939
EX01,adult,16.0744186,0.530455814,0.0,Centre,0,0.09672281,right,0.10502608825432794
EX01,adult,17.07906977,0.563609302,0.0,Centre,0,0.09656729,right,0.10485721375489189
EX01,adult,18.08372093,0.596762791,0.0,Centre,0,0.09966827,right,0.10822440493946504
EX01,adult,19.08837209,0.629916279,0.0,Centre,0,0.084354565,right,0.0915960754970787
EX01,adult,20.09302326,0.663069767,0.0,Centre,0,0.07187606,right,0.0780463361077918
EX01,adult,21.09767442,0.696223256,0.0,Centre,0,0.08839352,right,0.09598175611745731
EX01,adult,22.10232558,0.729376744,0.0,Centre,0,0.08733864,right,0.09483632360554516
EX01,adult,23.10697674,0.762530233,0.0,Centre,0,0.078505196,right,0.08524456108260382
EX01,adult,24.11162791,0.795683721,0.0,Centre,0,0.064115606,right,0.06961968142408984
EX01,adult,25.11627907,0.828837209,0.0,Centre,0,0.093822375,right,0.10187666055070335
EX01,adult,26.12093023,0.861990698,0.0,Centre,0,0.105951466,right,0.11504698649385861
EX01,adult,27.1255814,0.895144186,0.0,Centre,0,0.12231633,right,0.13281671144637408
EX01,adult,28.13023256,0.928297674,0.0,Centre,0,0.09673028,right,0.1050341946186297
EX01,adult,29.13488372,0.961451163,0.0,Centre,0,0.101731956,right,0.11046524835602609
EX01,adult,30.13953488,0.994604651,0.0,Centre,0,0.09290012,right,0.10087523331281446
EX01,adult,31.14418605,1.02775814,0.0,Centre,0,0.06632443,right,0.07201812162368308
EX01,adult,32.14883721,1.060911628,0.0,Centre,0,0.08678177,right,0.09423164707795824
EX01,adult,33.15348837,1.094065116,0.0,Centre,0,0.08074811,right,0.08768002196387856
EX01,adult,34.15813953,1.127218605,0.0,Centre,0,0.074793816,right,0.08121457348906269
EX01,adult,35.1627907,1.160372093,0.0,Centre,0,0.067642696,right,0.07344955831802616
EX01,adult,36.16744186,1.193525581,0.0,Centre,0,0.078531824,right,0.08527347539998355
EX01,adult,37.17209302,1.22667907,0.0,Centre,0,0.078474306,right,0.0852110191800139
EX01,adult,38.17674419,1.259832558,0.0,Centre,0,0.08141656,right,0.08840585708605943
EX01,adult,39.18139535,1.292986047,0.0,Centre,0,0.07826312,right,0.08498170291640775
EX01,adult,40.18604651,1.326139535,0.0,Centre,0,0.055438492,right,0.060197671185541375
EX01,adult,41.19069767,1.359293023,0.0,Centre,0,0.06852713,right,0.07440991978226662
EX01,adult,42.19534884,1.392446512,0.0,Centre,0,0.04977102,right,0.05404366647653656
EX01,adult,43.2,1.4256,0.0,Centre,0,0.0538105,right,0.05842992149997447
EX01,adult,44.20465116,1.458753488,0.0,Centre,0,0.04788843,right,0.05199946711576464
EX01,adult,45.20930233,1.491906977,0.0,Centre,0,0.027487818,right,0.029847540321962136
EX01,adult,46.21395349,1.525060465,0.0,Centre,0,0.017678596,right,0.019196234724842814
EX01,adult,47.21860465,1.558213953,0.0,Centre,0,0.018924955,right,0.020549589008947936
EX01,adult,48.22325581,1.591367442,0.0,Centre,0,0.016041286,right,0.01741836826426657
EX01,adult,49.22790698,1.62452093,0.0,Centre,0,0.034307376,right,0.03725253017266459
EX01,adult,50.23255814,1.657674419,0.0,Centre,0,0.019410983,right,0.021077340022599443
EX01,adult,51.2372093,1.690827907,0.0,Centre,0,0.03673378,right,0.03988723205877124
EX01,adult,52.24186047,1.723981395,0.0,Centre,0,0.046342198,right,0.05032049506359629
EX01,adult,53.24651163,1.757134884,0.0,Centre,0,0.029929938,right,0.03249930642853135
EX01,adult,54.25116279,1.790288372,0.0,Centre,0,0.03982438,right,0.043243149572032506
EX01,adult,55.25581395,1.82344186,0.0,Centre,0,0.039460592,right,0.04284813016109239
EX01,adult,56.26046512,1.856595349,0.0,Centre,0,0.040285107,right,0.04374342632104452
EX01,adult,57.26511628,1.889748837,0.0,Centre,0,0.045020208,right,0.04888501732237823
EX01,adult,58.26976744,1.922902326,0.0,Centre,0,0.048281245,right,0.05242600183821923
EX01,adult,59.2744186,1.956055814,0.0,Centre,0,0.046238866,right,0.05020829230261715
EX01,adult,60.27906977,1.989209302,0.0,Centre,0,0.023592943,right,0.02561830565595114
EX01,adult,61.28372093,2.022362791,0.0,Centre,0,0.041880604,right,0.04547589066938376
EX01,adult,62.28837209,2.055516279,0.0,Centre,0,0.049528673,right,0.05378051706371887
EX01,adult,63.29302326,2.088669767,0.0,Centre,0,0.08190073,right,0.08893158959881943
EX01,adult,64.29767442,2.121823256,0.0,Centre,0,0.073681675,right,0.08000695982343464
EX01,adult,65.30232558,2.154976744,0.0,Centre,0,0.07540262,right,0.08187563859866882
EX01,adult,66.30697674,2.188130233,0.0,Centre,0,0.04460049,right,0.04842926894573836
EX01,adult,67.31162791,2.221283721,0.0,Centre,0,0.03311108,right,0.03595353787950325
EX01,adult,68.31627907,2.254437209,0.0,Centre,0,0.026086727,right,0.028326171120463938
EX01,adult,69.32093023,2.287590698,0.0,Centre,0,0.05525234,right,0.0599955379399531
EX01,adult,70.3255814,2.320744186,0.0,Centre,0,0.05194709,right,0.05640654627264839
EX01,adult,71.33023256,2.353897674,0.0,Centre,0,0.055390824,right,0.06014591018873234
EX01,adult,72.33488372,2.387051163,0.0,Centre,0,0.05372475,right,0.05833681157307931
EX01,adult,73.33953488,2.420204651,0.0,Centre,0,0.051265318,right,0.05566624590159372
EX01,adult,74.34418605,2.45335814,0.0,Centre,0,0.048129447,right,0.05226117243075013
EX01,adult,75.34883721,2.486511628,0.0,Centre,0,0.038430214,right,0.041729298173954876
EX01,adult,76.35348837,2.519665116,0.0,Centre,0,0.0544201,right,0.05909185225926153
EX01,adult,77.35813953,2.552818605,0.0,Centre,0,0.054290406,right,0.05895102642752428
EX01,adult,78.3627907,2.585972093,0.0,Centre,0,0.02831127,right,0.0307416816081577
EX01,adult,79.36744186,2.619125581,0.0,Centre,0,0.02979012,right,0.03234748603682794
EX01,adult,80.37209302,2.65227907,0.0,Centre,0,0.045597315,right,0.04951166678952959
EX01,adult,81.37674419,2.685432558,0.0,Centre,0,0.043314185,right,0.047032539140471674
EX01,adult,82.38139535,2.718586047,0.0,Centre,0,0.03690236,right,0.04007028460555143
EX01,adult,83.38604651,2.751739535,0.0,Centre,0,0.03725789,right,0.04045633604760083
EX01,adult,84.39069767,2.784893023,0.0,Centre,0,0.03799532,right,0.041257070092641665
EX01,adult,85.39534884,2.818046512,0.0,Centre,0,0.051413924,right,0.05582760866524715
EX01,adult,86.4,2.8512,0.0,Centre,0,0.0638461,right,0.06932703520064919
EX01,adult,87.40465116,2.884353488,0.0,Centre,0,0.06612523,right,0.07180182246602657
EX01,adult,88.40930233,2.917506977,0.0,Centre,0,0.08983376,right,0.09754563721298212
EX01,adult,89.41395349,2.950660465,0.0,Left,-1,0.0726553,right,0.07889247226506964
EX01,adult,90.41860465,2.983813953,0.0,Left,-1,0.08042694,right,0.0873312784050403
EX01,adult,91.42325581,3.016967442,-0.022727273,Left,-1,0.051321246,right,0.05572697486729348
EX01,adult,92.42790698,3.05012093,-0.045454545,Left,-1,0.060256153,right,0.06542890951504654
EX01,adult,93.43255814,3.083274419,-0.068181818,Left,-1,0.065745994,right,0.0713900321037915
EX01,adult,94.4372093,3.116427907,-0.090909091,Left,-1,0.072564214,right,0.0787935697664778
EX01,adult,95.44186047,3.149581395,-0.113636364,Left,-1,0.056257684,right,0.06108718690907274
EX01,adult,96.44651163,3.182734884,-0.136363636,Left,-1,0.03758839,right,0.04081520851672432
EX01,adult,97.45116279,3.215888372,-0.159090909,Left,-1,0.033187516,right,0.03603653507648104
EX01,adult,98.45581395,3.24904186,-0.181818182,Left,-1,0.007838482,right,0.00851138520258759
EX01,adult,99.46046512,3.282195349,-0.204545455,Left,-1,0.0073354114,right,0.007965127893187308
EX01,adult,100.4651163,3.315348837,-0.227272727,Left,-1,0.005098356,right,0.005536029941576575
EX01,adult,101.4697674,3.348502326,-0.25,Left,-1,0.015279888,right,0.016591607086237414
EX01,adult,102.4744186,3.381655814,-0.272727273,Left,-1,0.0194227,right,0.02109006385938147
EX01,adult,103.4790698,3.414809302,-0.295454545,Left,-1,0.033887394,right,0.03679649459449506
EX01,adult,104.4837209,3.447962791,-0.318181818,Left,-1,0.030426884,right,0.03303891360673797
EX01,adult,105.4883721,3.481116279,-0.340909091,Left,-1,0.0069564437,right,0.007553627260664367
EX01,adult,106.4930233,3.514269767,-0.363636364,Left,-1,-0.021653898,left,-0.10857835410864632
EX01,adult,107.4976744,3.547423256,-0.386363636,Left,-1,-0.047798153,left,-0.23967254159626641
EX01,adult,108.5023256,3.580576744,-0.409090909,Left,-1,-0.015346732,left,-0.0769525604970205
EX01,adult,109.5069767,3.613730233,-0.431818182,Left,-1,-0.052100487,left,-0.2612455788217708
EX01,adult,110.5116279,3.646883721,-0.454545455,Left,-1,-0.032216527,left,-0.16154215837256855
EX01,adult,111.5162791,3.680037209,-0.477272727,Left,-1,-0.061795194,left,-0.309857394049565
EX01,adult,112.5209302,3.713190698,-0.5,Left,-1,-0.061752584,left,-0.30964373692475555
EX01,adult,113.5255814,3.746344186,-0.522727273,Left,-1,-0.06810901,left,-0.34151654940493187
EX01,adult,114.5302326,3.779497674,-0.545454545,Left,-1,-0.06985365,left,-0.3502646113043037
EX01,adult,115.5348837,3.812651163,-0.568181818,Left,-1,-0.06614014,left,-0.33164408839987886
EX01,adult,116.5395349,3.845804651,-0.590909091,Left,-1,-0.08117315,left,-0.4070235847727886
EX01,adult,117.544186,3.87895814,-0.613636364,Left,-1,-0.079924665,left,-0.40076334508976774
EX01,adult,118.5488372,3.912111628,-0.636363636,Left,-1,-0.09864642,left,-0.49463914510849216
EX01,adult,119.5534884,3.945265116,-0.659090909,Left,-1,-0.100747116,left,-0.5051726020060532
EX01,adult,120.5581395,3.978418605,-0.681818182,Left,-1,-0.08567496,left,-0.4295968205249517
EX01,adult,121.5627907,4.011572093,-0.704545455,Left,-1,-0.0808083,left,-0.4051941059474836
EX01,adult,122.5674419,4.044725581,-0.727272727,Left,-1,-0.15897395,left,-0.7971372859291224
EX01,adult,123.572093,4.07787907,-0.75,Left,-1,-0.14469941,left,-0.7255609909835125
EX01,adult,124.5767442,4.111032558,-0.772727273,Left,-1,-0.13921036,left,-0.6980374403196511
EX01,adult,125.5813953,4.144186047,-0.795454545,Left,-1,-0.16196041,left,-0.8121121884085984
EX01,adult,126.5860465,4.177339535,-0.818181818,Left,-1,-0.15975133,left,-0.8010352675847211
EX01,adult,127.5906977,4.210493023,-0.840909091,Left,-1,-0.15706553,left,-0.7875679572742537
EX01,adult,128.5953488,4.243646512,-0.863636364,Left,-1,-0.18221721,left,-0.9136851367192651
EX01,adult,129.6,4.2768,-0.886363636,Left,-1,-0.16531307,left,-0.8289232943649736
EX01,adult,130.6046512,4.309953488,-0.886363636,Left,-1,-0.16124669,left,-0.8085334035486584
EX01,adult,131.6093023,4.343106977,-0.909090909,Left,-1,-0.18201987,left,-0.9126956415963934
EX01,adult,132.6139535,4.376260465,-0.931818182,Left,-1,-0.17938176,left,-0.8994674300092659
EX01,adult,133.6186047,4.409413953,-0.954545455,Left,-1,-0.16994324,left,-0.8521402287113782
EX01,adult,134.6232558,4.442567442,-0.977272727,Left,-1,-0.16361503,left,-0.8204089141084909
EX01,adult,135.627907,4.47572093,-1.0,Left,-1,-0.12510626,left,-0.627315773873279
EX01,adult,136.6325581,4.508874419,-1.0,Left,-1,-0.14573564,left,-0.7307569051150913
EX01,adult,137.6372093,4.542027907,-1.0,Left,-1,-0.13338575,left,-0.6688313071086367
EX01,adult,138.6418605,4.575181395,-1.0,Left,-1,-0.16847157,left,-0.8447608949256004
EX01,adult,139.6465116,4.608334884,-1.0,Left,-1,-0.1593649,left,-0.7990975965871048
EX01,adult,140.6511628,4.641488372,-1.0,Left,-1,-0.16914776,left,-0.8481514642592614
EX01,adult,141.655814,4.67464186,-1.0,Left,-1,-0.15519811,left,-0.7782042535214572
EX01,adult,142.6604651,4.707795349,-1.0,Left,-1,-0.1613588,left,-0.8090955844219112
EX01,adult,143.6651163,4.740948837,-1.0,Left,-1,-0.17079465,left,-0.856409411134962
EX01,adult,144.6697674,4.774102326,-1.0,Left,-1,-0.1726783,left,-0.8658545578903961
EX01,adult,145.6744186,4.807255814,-1.0,Left,-1,-0.17908774,left,-0.8979931622248226
EX01,adult,146.6790698,4.840409302,-1.0,Left,-1,-0.14382109,left,-0.7211568672179436
EX01,adult,147.6837209,4.873562791,-1.0,Left,-1,-0.16029914,left,-0.8037821383241406
EX01,adult,148.6883721,4.906716279,-1.0,Left,-1,-0.17106576,left,-0.8577688368138511
EX01,adult,149.6930233,4.939869767,-1.0,Left,-1,-0.16144136,left,-0.8095095240866933
EX01,adult,150.6976744,4.973023256,-1.0,Left,-1,-0.19943108,left,-1.0
EX01,adult,151.7023256,5.006176744,-1.0,Left,-1,-0.19799352,left,-0.9927916965197612
EX01,adult,152.7069767,5.039330233,-1.0,Left,-1,-0.17881076,left,-0.8966042975156223
EX01,adult,153.7116279,5.072483721,-1.0,Left,-1,-0.1742272,left,-0.8736210821712824
EX01,adult,154.7162791,5.105637209,-1.0,Left,-1,-0.17304689,left,-0.867702716303462
EX01,adult,155.7209302,5.138790698,-1.0,Left,-1,-0.14626667,left,-0.7334196429912356
EX01,adult,156.7255814,5.171944186,-1.0,Left,-1,-0.16791818,left,-0.8419860048045394
EX01,adult,157.7302326,5.205097674,-1.0,Left,-1,-0.16537432,left,-0.8292304615061142
EX01,adult,158.7348837,5.238251163,-1.0,Left,-1,-0.14900413,left,-0.7471460018247715
EX01,adult,159.7395349,5.271404651,-1.0,Left,-1,-0.12972951,left,-0.6504979641864483
EX01,adult,160.744186,5.30455814,-1.0,Left,-1,-0.133104,left,-0.6674185325271024
EX01,adult,161.7488372,5.337711628,-1.0,Left,-1,-0.114172384,left,-0.572490436611454
EX01,adult,162.7534884,5.370865116,-1.0,Left,-1,-0.10905751,left,-0.5468431011014755
