participant,age_group,frame,timestamp,true_location,humna_class,human_score_blinks_removed
EX01,adult,101.4697674,3.348502326,-0.25,Left,-1
EX01,adult,102.4744186,3.381655814,-0.272727273,Left,-1
EX01,adult,103.4790698,3.414809302,-0.295454545,Left,-1
EX01,adult,104.4837209,3.447962791,-0.318181818,Left,-1
EX01,adult,105.4883721,3.481116279,-0.340909091,Left,-1
EX01,adult,106.4930233,3.514269767,-0.363636364,Left,-1
EX01,adult,107.4976744,3.547423256,-0.386363636,Left,-1
EX01,adult,108.5023256,3.580576744,-0.409090909,Left,-1
EX01,adult,109.5069767,3.613730233,-0.431818182,Left,-1
EX01,adult,110.5116279,3.646883721,-0.454545455,Left,-1
EX01,adult,111.5162791,3.680037209,-0.477272727,Left,-1
EX01,adult,112.5209302,3.713190698,-0.5,Left,-1
EX01,adult,113.5255814,3.746344186,-0.522727273,Left,-1
EX01,adult,114.5302326,3.779497674,-0.545454545,Left,-1
EX01,adult,115.5348837,3.812651163,-0.568181818,Left,-1
EX01,adult,116.5395349,3.845804651,-0.590909091,Left,-1
EX01,adult,117.544186,3.87895814,-0.613636364,Left,-1
EX01,adult,118.5488372,3.912111628,-0.636363636,Left,-1
EX01,adult,119.5534884,3.945265116,-0.659090909,Left,-1
EX01,adult,120.5581395,3.978418605,-0.681818182,Left,-1
EX01,adult,121.5627907,4.011572093,-0.704545455,Left,-1
EX01,adult,122.5674419,4.044725581,-0.727272727,Left,-1
EX01,adult,123.572093,4.07787907,-0.75,Left,-1
EX01,adult,124.5767442,4.111032558,-0.772727273,Left,-1
EX01,adult,125.5813953,4.144186047,-0.795454545,Left,-1
EX01,adult,126.5860465,4.177339535,-0.818181818,Left,-1
EX01,adult,127.5906977,4.210493023,-0.840909091,Left,-1
EX01,adult,128.5953488,4.243646512,-0.863636364,Left,-1
EX01,adult,129.6,4.2768,-0.886363636,Left,-1
EX01,adult,130.6046512,4.309953488,-0.886363636,Left,-1
EX01,adult,131.6093023,4.343106977,-0.909090909,Left,-1
EX01,adult,132.6139535,4.376260465,-0.931818182,Left,-1
EX01,adult,133.6186047,4.409413953,-0.954545455,Left,-1
EX01,adult,134.6232558,4.442567442,-0.977272727,Left,-1
EX01,adult,135.627907,4.47572093,-1,Left,-1
EX01,adult,136.6325581,4.508874419,-1,Left,-1
EX01,adult,137.6372093,4.542027907,-1,Left,-1
EX01,adult,138.6418605,4.575181395,-1,Left,-1
EX01,adult,139.6465116,4.608334884,-1,Left,-1
EX01,adult,140.6511628,4.641488372,-1,Left,-1
EX01,adult,141.655814,4.67464186,-1,Left,-1
EX01,adult,142.6604651,4.707795349,-1,Left,-1
EX01,adult,143.6651163,4.740948837,-1,Left,-1
EX01,adult,144.6697674,4.774102326,-1,Left,-1
EX01,adult,145.6744186,4.807255814,-1,Left,-1
EX01,adult,146.6790698,4.840409302,-1,Left,-1
EX01,adult,147.6837209,4.873562791,-1,Left,-1
EX01,adult,148.6883721,4.906716279,-1,Left,-1
